Treat,Rep,TargetMR,TargetHP,MR_D0,MR_D1,MR_D2,MR_D3,MR_D4,MR_D6,MR_D8,,,,HP_D0,HP_D1,HP_D2,HP_D3,HP_D4,HP_D6,HP_D8,,,R_D0,R_D1,R_D2,R_D3,R_D4,R_D6,,,,Mu_MR_0to2,Mu_HP_0to2,Mu_MR_0to6,Mu_HP_0to6,,Chl_date,Chl_volculture,Chl_volextr,Chl_reading,Chl_pg_p_cell,CorrChl,,Chl_date_rep,Chl_vol_rep,Chl_extr_rep,Chl_read_rep,Chl_pcell_rep
1,C,1000,0,783,842,1233,842,833,1150,1183,,,,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.2270,,0.06399,,,8,1,5,6.41,27.08451,27.08451,,0,5,5,25.5,32.55319149
1,D,1000,0,958,900,1000,908,975,1270,1525,,,,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.0213,,0.04693,,,8,1,5,6.87,22.52459,22.52459,,0,5,5,26.33,27.47478261
1,E,1000,0,858,742,883,633,1425,825,825,,,,0,0,0,0,0,0,0,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.0144,,-0.00660,,,8,1,5,4.81,29.15152,29.15152,,0,5,5,29.79,34.70679612
2,A,0,5000,0,0,0,0,0,0,0,,,,1658,7600,4300,5013,18850,35833,178333,,,,,,,,,,,,,0.47640,,0.51218,,8,1,5,26.67,0.74776,0.74776,,,,,,
2,B,0,5000,0,0,0,0,0,0,0,,,,1540,1625,4083,6667,14667,30800,226667,,,,,,,,,,,,,0.48757,,0.49929,,8,1,5,27.01,0.59581,0.59581,,,,,,
2,C,1000,5000,1080,675,1067,1150,1450,1492,1867,,,,2030,4583,3917,2250,2338,1033,925,,,1.88,6.79,3.67,1.96,1.61,0.69,,,,-0.0062,0.32860,0.05382,-0.11254,,8,1,5,6.99,18.72321,18.72321,,6,2,5,12.87,21.5698324
2,D,1000,5000,833,975,1025,1142,975,1208,1733,,,,2110,2238,4267,2175,1600,1400,800,,,2.53,2.29,4.16,1.91,1.64,1.16,,,,0.1035,0.35207,0.06193,-0.06837,,8,1,5,6.25,18.02885,18.02885,,6,2,5,14.7,30.4137931
3,A,0,10000,0,0,0,0,0,0,0,,,,2533,14800,6700,7833,17775,124333,355833,,,,,,,,,,,,,0.48629,,0.64891,,8,1,5,38.98,0.54773,0.54773,,,,,,
3,B,0,10000,0,0,0,0,0,0,0,,,,3490,2280,5938,8633,21550,128333,397500,,,,,,,,,,,,,0.26569,,0.60079,,8,1,5,38.43,0.48340,0.48340,,,,,,
3,C,1000,10000,1017,883,1233,1170,1267,1950,2042,,,,4588,8667,8683,4767,2300,2475,1217,,,4.51,9.81,7.04,4.07,1.82,1.27,,,,0.0966,0.31904,0.10855,-0.10285,,8,2,5,6.82,8.35102,8.35102,,,,,,
