Exp,Treatment,Prey,Rep,TargetMR,TargetHP,ExpDay,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
2,1,0,C,1000,0,0,hm112223.001,11/22/23,62867,0,7207,12828,13159,5621,5952,0.438,0.452,142.3,0.42,0.54,402,0.37,2451,0.09,60000,--------,-------,1236,6547,0,7509,0.04,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7385.7,1,0,0,809.3,0
2,1,0,C,1000,0,0,hm112223.002,11/22/23,62890,7,7468,12677,12908,5208,5440,0.411,0.421,141,0.43,0.58,494,0.34,2836,0.08,65575,--------,-------,1366,6665,0,7736,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7379.4,0.98,7,11.5,732.3,0.01
2,1,0,C,1000,0,0,hm112223.003,11/22/23,62913,14,7646,12807,12966,5161,5320,0.403,0.41,140.9,0.42,0.61,598,0.3,3497,0.09,60000,--------,-------,1549,7073,0,7912,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7464.7,0.97,14,22.5,645.8,0
2,1,0,C,1000,0,0,hm112223.004,11/22/23,62935,21,7788,12982,13213,5194,5425,0.4,0.411,139.9,0.4,0.59,593,0.31,3511,0.1,60000,--------,-------,1609,7436,0,8063,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7519,0.95,21,33.5,621.7,-0.01
2,1,0,C,1000,0,0,hm112223.005,11/22/23,62958,28,7787,12951,13196,5163,5409,0.399,0.41,139.2,0.39,0.6,646,0.3,4009,0.09,60000,--------,-------,1772,7299,0,8070,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7464.1,0.94,28,44.5,564.2,-0.01
2,1,0,C,1000,0,0,hm112223.006,11/22/23,62981,43,7967,12831,13165,4865,5199,0.379,0.395,132.4,0.38,0.59,702,0.31,5333,0.1,60000,--------,-------,2307,7910,0,8220,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7405.8,0.9,43,65,433.5,0
2,1,0,C,1000,0,0,hm112223.007,11/22/23,63004,58,7875,12280,12647,4405,4772,0.359,0.377,129.6,0.37,0.56,704,0.34,5681,0.1,60000,--------,-------,2573,8098,0,8107,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7158.6,0.86,58,83,388.7,0.04
2,1,0,C,1000,0,0,hm112223.008,11/22/23,63027,73,7932,12021,12362,4089,4430,0.34,0.358,125.7,0.35,0.56,770,0.38,7372,0.05,144067,--------,-------,3438,10801,0,8157,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7090.7,0.83,73,99.1,290.9,0.07
2,1,0,C,1000,0,0,hm112223.009,11/22/23,63050,88,7968,11724,12079,3756,4111,0.32,0.34,123.7,0.36,0.54,775,0.41,7321,0.05,142300,--------,-------,3615,9987,0,8162,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7010.8,0.8,88,112.5,276.6,0.09
2,1,0,C,1000,0,0,hm112223.010,11/22/23,63073,103,8070,11601,11988,3531,3917,0.304,0.327,123.7,0.35,0.53,758,0.42,7279,0.05,137170,--------,-------,3663,10054,0,8262,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7036.9,0.77,103,125.1,273,0.11
2,1,0,C,1000,0,0,hm112223.011,11/22/23,63095,118,8306,11557,11919,3251,3613,0.281,0.303,121.7,0.35,0.51,826,0.45,7434,0.04,136169,--------,-------,3905,9354,0,8473,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7168.2,0.74,118,132.4,256.1,0.11
2,1,0,C,1000,0,0,hm112223.012,11/22/23,63118,133,8424,11476,11844,3052,3420,0.266,0.289,117.4,0.33,0.49,785,0.47,7116,0.04,143991,--------,-------,3914,9485,0,8587,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7223.4,0.72,133,141.1,255.5,0.12
2,1,0,C,1000,0,0,hm112223.013,11/22/23,63141,148,8252,11010,11352,2758,3099,0.25,0.273,114.7,0.32,0.46,772,0.5,6799,0.04,133990,--------,-------,3891,8732,0,8390,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7020.9,0.69,148,147.9,257,0.17
2,1,0,C,1000,0,0,hm112223.014,11/22/23,63164,163,7949,10462,10781,2514,2832,0.24,0.263,116.4,0.32,0.46,792,0.5,7026,0.04,135057,--------,-------,4020,9268,0,8087,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6741,0.68,163,156.3,248.8,0.23
2,1,0,C,1000,0,0,hm112223.015,11/22/23,63187,178,7812,10105,10412,2293,2600,0.227,0.25,114,0.34,0.44,799,0.52,6916,0.04,135199,--------,-------,4122,9542,0,7934,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6587.1,0.65,178,161.1,242.6,0.27
2,1,0,D,1000,0,0,hm112223.016,11/22/23,63213,0,6918,12774,13113,5856,6195,0.458,0.472,148.2,0.41,0.59,459,0.33,2934,0.08,71386,--------,-------,1358,7021,0,7258,0.05,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7228.4,1,0,0,736.2,0
2,1,0,D,1000,0,0,hm112223.017,11/22/23,63236,12,7404,12500,12723,5095,5319,0.408,0.418,141.1,0.41,0.6,604,0.32,3655,0.08,75690,--------,-------,1654,7407,0,7678,0.04,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7296.1,0.98,12,19.4,604.6,0.02
2,1,0,D,1000,0,0,hm112223.018,11/22/23,63259,24,7720,12830,13140,5110,5420,0.398,0.412,136.8,0.39,0.57,676,0.33,4407,0.1,60000,--------,-------,2032,7770,0,8006,0.04,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7421.5,0.94,24,38,492.2,0
2,1,0,D,1000,0,0,hm112223.019,11/22/23,63282,36,7357,12059,12420,4702,5063,0.39,0.408,133.5,0.38,0.59,656,0.33,5036,0.08,68217,--------,-------,2219,7222,0,7605,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6972.2,0.92,36,55.7,450.6,0.06
2,1,0,D,1000,0,0,hm112223.020,11/22/23,63304,48,7268,11593,11853,4325,4585,0.373,0.387,131.2,0.37,0.6,728,0.31,5709,0.09,60000,--------,-------,2433,7877,0,7505,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6770.2,0.9,48,71.1,411.1,0.1
2,1,0,D,1000,0,0,hm112223.021,11/22/23,63327,73,7681,11512,11870,3831,4189,0.333,0.353,123.2,0.34,0.55,786,0.4,8048,0.05,130358,--------,-------,3851,10209,0,7894,0.03,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6856.4,0.82,73,96.4,259.7,0.11
2,1,0,D,1000,0,0,hm112223.022,11/22/23,63350,98,7694,10977,11368,3283,3674,0.299,0.323,116.8,0.33,0.51,766,0.45,7729,0.04,129563,--------,-------,4053,9133,0,7863,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6701.9,0.77,98,116.4,246.7,0.16
2,1,0,D,1000,0,0,hm112223.023,11/22/23,63373,123,7808,10563,10953,2755,3145,0.261,0.287,117.8,0.36,0.46,781,0.5,7522,0.04,123902,--------,-------,4301,9112,0,7949,0.02,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6668,0.71,123,127.4,232.5,0.21
2,1,0,D,1000,0,0,hm112223.024,11/22/23,63396,148,8235,10716,11066,2481,2831,0.232,0.256,113.4,0.35,0.43,834,0.53,7791,0.03,124227,--------,-------,4682,8674,0,8360,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6944.5,0.66,148,136,213.6,0.19
2,1,0,D,1000,0,0,hm112223.025,11/22/23,63419,173,8802,11085,11479,2283,2676,0.206,0.233,110.2,0.33,0.42,805,0.55,7522,0.03,111966,--------,-------,4612,7964,0,8915,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7380.8,0.62,173,141.4,216.8,0.15
2,1,0,D,1000,0,0,hm112223.026,11/22/23,63442,198,9129,11155,11498,2026,2369,0.182,0.206,108.6,0.37,0.39,851,0.58,7651,0.04,122366,--------,-------,4924,9222,0,9238,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7622.6,0.57,198,142.8,203.1,0.15
2,1,0,D,1000,0,0,hm112223.027,11/22/23,63464,223,9299,11133,11440,1834,2141,0.165,0.187,105.9,0.35,0.37,848,0.6,7568,0.03,118107,--------,-------,4994,8778,0,9394,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7757.7,0.54,223,145.9,200.3,0.15
2,1,0,D,1000,0,0,hm112223.028,11/22/23,63487,248,9482,11142,11424,1660,1942,0.149,0.17,106.8,0.36,0.35,812,0.61,7290,0.04,121847,--------,-------,4922,9135,0,9570,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7929.3,0.52,248,146.7,203.1,0.15
2,1,0,D,1000,0,0,hm112223.029,11/22/23,63510,273,9612,11164,11436,1551,1824,0.139,0.159,102.9,0.36,0.35,820,0.61,7162,0.04,123727,--------,-------,4826,9708,0,9695,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8048.7,0.5,273,150.6,207.2,0.14
2,1,0,D,1000,0,0,hm112223.030,11/22/23,63533,298,9807,11176,11400,1369,1592,0.122,0.14,105.1,0.42,0.31,840,0.65,7245,0.04,125255,--------,-------,5182,10167,0,9878,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8201,0.46,298,144.9,193,0.14
2,1,0,E,1000,0,0,hm112223.031,11/22/23,63547,0,8808,16484,17041,7676,8233,0.466,0.483,147.1,0.41,0.55,406,0.37,2482,0.09,61641,--------,-------,1240,6618,0,9252,0.05,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9234,1,0,0,806.7,0
2,1,0,E,1000,0,0,hm112223.032,11/22/23,63570,12,8823,15164,15578,6341,6755,0.418,0.434,140.5,0.41,0.55,503,0.35,2643,0.1,60000,--------,-------,1337,7376,0,9165,0.04,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8725.8,0.98,12,19.5,748.2,0.09
2,1,0,E,1000,0,0,hm112223.033,11/22/23,63592,24,9015,15227,15630,6212,6615,0.408,0.423,134.9,0.38,0.58,668,0.31,4457,0.1,60000,--------,-------,1996,8050,0,9367,0.04,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8671,0.95,24,38,501,0.08
2,1,0,E,1000,0,0,hm112223.034,11/22/23,63615,36,8739,14423,14739,5684,6000,0.394,0.407,134.1,0.39,0.61,741,0.29,5498,0.09,60000,--------,-------,2278,7761,0,9035,0.03,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8243.5,0.92,36,55,439.1,0.14
2,1,0,E,1000,0,0,hm112223.035,11/22/23,63638,48,8629,14025,14413,5396,5784,0.385,0.401,131.5,0.36,0.57,660,0.32,4675,0.11,60000,--------,-------,2111,8504,0,8936,0.03,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8044.1,0.9,48,71.6,473.7,0.18
2,1,0,E,1000,0,0,hm112223.036,11/22/23,63661,73,9505,14461,14942,4957,5437,0.343,0.364,123.4,0.34,0.57,820,0.38,8314,0.05,124396,--------,-------,3827,10353,0,9782,0.03,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8453.1,0.83,73,97.1,261.3,0.14
2,1,0,E,1000,0,0,hm112223.037,11/22/23,63684,98,10115,14563,15156,4448,5041,0.305,0.333,118.6,0.34,0.51,780,0.44,7858,0.05,119278,--------,-------,4081,9382,0,10353,0.02,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8770.2,0.77,98,116.1,245,0.13
2,1,0,E,1000,0,0,hm112223.038,11/22/23,63707,123,10160,14058,14574,3898,4414,0.277,0.303,116.9,0.33,0.48,827,0.47,7802,0.04,110815,--------,-------,4270,8805,0,10360,0.02,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8660.5,0.72,123,132.3,234.2,0.17
2,1,0,E,1000,0,0,hm112223.039,11/22/23,63730,148,10508,14001,14511,3493,4003,0.249,0.276,114.8,0.34,0.45,827,0.51,7489,0.04,124420,--------,-------,4348,8840,0,10688,0.02,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8869,0.68,148,143.2,230,0.18
2,1,0,E,1000,0,0,hm112223.040,11/22/23,63752,173,11035,14184,14688,3149,3653,0.222,0.249,111.1,0.34,0.43,819,0.54,7395,0.04,123532,--------,-------,4475,8760,0,11194,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9202.7,0.63,173,149,223.4,0.16
2,1,0,E,1000,0,0,hm112223.041,11/22/23,63775,198,11194,13950,14419,2756,3225,0.198,0.224,109.8,0.36,0.4,784,0.57,7141,0.03,100457,--------,-------,4546,7301,0,11314,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9302.9,0.59,198,151.7,220,0.18
2,1,0,E,1000,0,0,hm112223.042,11/22/23,63798,223,11465,13968,14365,2503,2901,0.179,0.202,108.6,0.35,0.38,846,0.58,7204,0.04,119219,--------,-------,4690,8839,0,11593,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9509.4,0.56,223,155,213.2,0.18
2,1,0,E,1000,0,0,hm112223.043,11/22/23,63821,248,11805,14086,14478,2280,2672,0.162,0.185,109.2,0.37,0.35,779,0.62,6835,0.03,118661,--------,-------,4671,8516,0,11918,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9806.6,0.53,248,155.7,214.1,0.17
2,1,0,E,1000,0,0,hm112223.044,11/22/23,63844,273,11817,13864,14225,2047,2409,0.148,0.169,109.4,0.4,0.34,829,0.62,7142,0.04,128613,--------,-------,4911,9767,0,11926,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9798.8,0.5,273,156.4,203.6,0.19
2,1,0,E,1000,0,0,hm112223.045,11/22/23,63867,298,11458,13370,13688,1912,2230,0.143,0.163,103.3,0.37,0.34,796,0.62,7000,0.04,125962,--------,-------,4811,10038,0,11562,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9466.4,0.49,298,165.3,207.8,0.23
2,2,5,C,1000,5000,6,hm112823.001,11/28/23,59424,0,3717,7299,7383,3583,3666,0.491,0.497,139.5,0.41,0.56,425,0.34,2443,0.09,64966,--------,-------,1190,7044,0,3923,0.05,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3847,1,0,0,840.2,0
2,2,5,C,1000,5000,6,hm112823.002,11/28/23,59447,12,4022,7194,7274,3172,3252,0.441,0.447,134.7,0.41,0.57,516,0.33,2499,0.1,60000,--------,-------,1238,7165,0,4187,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3931.3,0.97,12,18.5,808,0.01
2,2,5,C,1000,5000,6,hm112823.003,11/28/23,59470,24,4152,7292,7366,3140,3214,0.431,0.436,133.7,0.39,0.61,638,0.27,3707,0.11,60000,--------,-------,1586,8112,0,4322,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3997.3,0.95,24,36.1,630.5,0
2,2,5,C,1000,5000,6,hm112823.004,11/28/23,59493,36,4300,7481,7556,3181,3256,0.425,0.431,131.6,0.38,0.62,682,0.27,4436,0.1,60000,--------,-------,1833,7851,0,4465,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4050.2,0.93,36,53.4,545.6,-0.02
2,2,5,C,1000,5000,6,hm112823.005,11/28/23,59516,48,4255,7241,7341,2986,3086,0.412,0.42,130.4,0.37,0.64,723,0.26,5379,0.1,60000,--------,-------,2073,7820,0,4412,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3934.1,0.9,48,69.1,482.4,0.01
2,2,5,C,1000,5000,6,hm112823.006,11/28/23,59539,73,4276,6868,7046,2592,2770,0.377,0.393,125.2,0.36,0.61,761,0.3,7258,0.09,60000,--------,-------,2924,7889,0,4410,0.03,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3785.4,0.84,73,96.2,342,0.06
2,2,5,C,1000,5000,6,hm112823.007,11/28/23,59562,98,4387,6637,6801,2250,2414,0.339,0.355,120.2,0.35,0.55,826,0.35,7582,0.09,60000,--------,-------,3443,8811,0,4509,0.03,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3742.6,0.78,98,116,290.4,0.1
2,2,5,C,1000,5000,6,hm112823.008,11/28/23,59585,123,4698,6701,6915,2003,2218,0.299,0.321,119.7,0.35,0.52,853,0.4,8095,0.08,60000,--------,-------,4019,8218,0,4801,0.02,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3891.8,0.71,123,128.4,248.8,0.09
2,2,5,C,1000,5000,6,hm112823.009,11/28/23,59609,148,5057,6933,7156,1876,2099,0.271,0.293,114.9,0.32,0.48,811,0.45,7609,0.07,60000,--------,-------,4121,8192,0,5154,0.02,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4125.7,0.67,148,139.8,242.6,0.05
2,2,5,C,1000,5000,6,hm112823.010,11/28/23,59632,173,5591,7363,7604,1772,2013,0.241,0.265,113.2,0.35,0.45,864,0.51,8251,0.04,117829,--------,-------,4774,9129,0,5676,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4495.6,0.62,173,145.4,209.5,-0.01
2,2,5,C,1000,5000,6,hm112823.011,11/28/23,59655,198,5926,7570,7783,1644,1857,0.217,0.239,108.1,0.34,0.42,887,0.53,8016,0.05,133950,--------,-------,4874,11074,0,6016,0.02,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4720.2,0.58,198,150.1,205.2,-0.04
2,2,5,C,1000,5000,6,hm112823.012,11/28/23,59678,223,6094,7557,7779,1464,1685,0.194,0.217,108.6,0.35,0.4,825,0.56,7850,0.04,121599,--------,-------,4935,10114,0,6167,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4805.9,0.53,223,150.8,202.6,-0.03
2,2,5,C,1000,5000,6,hm112823.013,11/28/23,59701,248,6149,7458,7655,1308,1505,0.175,0.197,105.5,0.39,0.36,843,0.6,7781,0.04,120218,--------,-------,5194,10026,0,6213,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4842.6,0.5,248,151.9,192.5,-0.02
2,2,5,C,1000,5000,6,hm112823.014,11/28/23,59724,273,6191,7389,7557,1198,1366,0.162,0.181,104.2,0.36,0.35,897,0.61,7748,0.03,108553,--------,-------,5256,8744,0,6244,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4893.4,0.48,273,154.5,190.3,-0.01
2,2,5,C,1000,5000,6,hm112823.015,11/28/23,59747,298,6050,7120,7269,1070,1220,0.15,0.168,101.9,0.37,0.35,881,0.62,7835,0.03,94835,--------,-------,5330,8341,0,6094,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4777,0.46,298,156.4,187.6,0.03
2,2,5,D,1000,5000,6,hm112823.016,11/28/23,59899,0,3759,7378,7582,3619,3822,0.49,0.504,138.7,0.39,0.6,421,0.32,2613,0.08,71376,--------,-------,1188,7076,0,3968,0.05,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3932.3,1,0,0,841.5,0
2,2,5,D,1000,5000,6,hm112823.017,11/28/23,59922,12,4105,7307,7434,3202,3330,0.438,0.448,133.6,0.4,0.6,549,0.3,2825,0.1,60000,--------,-------,1314,7214,0,4280,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4055.9,0.98,12,18.3,760.8,0.01
2,2,5,D,1000,5000,6,hm112823.018,11/28/23,59945,24,4071,7109,7189,3038,3118,0.427,0.434,131.9,0.39,0.63,695,0.27,4152,0.1,60000,--------,-------,1740,7461,0,4227,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3946.1,0.96,24,35.6,574.8,0.04
2,2,5,D,1000,5000,6,hm112823.019,11/28/23,59969,36,3927,6737,6825,2810,2897,0.417,0.425,128.7,0.38,0.64,715,0.27,5277,0.1,60000,--------,-------,2062,7568,0,4071,0.04,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3701.7,0.93,36,52.1,485.1,0.1
2,2,5,D,1000,5000,6,hm112823.020,11/28/23,59992,48,3803,6380,6440,2578,2637,0.404,0.409,127.3,0.37,0.63,736,0.26,5353,0.11,60000,--------,-------,2081,8481,0,3937,0.03,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3534.3,0.91,48,67.3,480.6,0.16
2,2,5,D,1000,5000,6,hm112823.021,11/28/23,60015,73,3992,6268,6407,2276,2415,0.363,0.377,121.8,0.36,0.59,777,0.3,7062,0.1,60000,--------,-------,2906,8707,0,4106,0.03,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3548.4,0.84,73,92.1,344.1,0.18
2,2,5,D,1000,5000,6,hm112823.022,11/28/23,60038,98,4162,6224,6390,2061,2227,0.331,0.349,115.8,0.32,0.54,770,0.37,7536,0.08,60000,--------,-------,3529,8240,0,4270,0.03,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3578.1,0.78,98,112.7,283.3,0.19
2,2,5,D,1000,5000,6,hm112823.023,11/28/23,60061,123,4425,6294,6463,1869,2038,0.297,0.315,110.6,0.31,0.5,801,0.42,7547,0.08,60000,--------,-------,3873,8581,0,4518,0.02,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3686.4,0.72,123,126.8,258.2,0.17
2,2,5,D,1000,5000,6,hm112823.024,11/28/23,60084,148,4717,6368,6577,1651,1860,0.259,0.283,110.9,0.35,0.46,787,0.48,7679,0.07,60000,--------,-------,4303,8088,0,4796,0.02,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3870.8,0.66,148,133.2,232.4,0.16
2,2,5,D,1000,5000,6,hm112823.025,11/28/23,60107,173,4952,6463,6648,1512,1696,0.234,0.255,105.6,0.3,0.44,834,0.51,8155,0.05,122081,--------,-------,4768,10063,0,5029,0.02,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4024.3,0.62,173,140.5,209.7,0.14
2,2,5,D,1000,5000,6,hm112823.026,11/28/23,60130,198,5263,6619,6791,1356,1528,0.205,0.225,105.1,0.35,0.41,862,0.53,8153,0.06,60000,--------,-------,4971,8525,0,5324,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4216.7,0.56,198,140.9,201.2,0.11
2,2,5,D,1000,5000,6,hm112823.027,11/28/23,60154,223,5618,6850,7016,1231,1397,0.18,0.199,109.1,0.4,0.36,877,0.58,8372,0.05,60000,--------,-------,5512,8509,0,5671,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4469.7,0.52,223,139.2,181.4,0.08
2,2,5,D,1000,5000,6,hm112823.028,11/28/23,60177,248,5886,7113,7304,1227,1417,0.172,0.194,101.7,0.35,0.37,858,0.58,8187,0.05,108020,--------,-------,5317,9983,0,5948,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4684,0.51,248,148.5,188.1,0.04
2,2,5,D,1000,5000,6,hm112823.029,11/28/23,60200,273,5780,6863,7012,1083,1232,0.158,0.176,103.4,0.4,0.33,885,0.62,8152,0.05,118461,--------,-------,5615,10980,0,5834,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4565.1,0.47,273,149.6,178.1,0.08
2,2,5,D,1000,5000,6,hm112823.030,11/28/23,60223,298,5413,6418,6540,1004,1126,0.157,0.172,97.7,0.35,0.34,823,0.6,7766,0.06,132622,--------,-------,5269,12863,0,5470,0.01,1500,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4290.5,0.47,298,162,189.8,0.15
2,1,0,C,1000,0,8,mh113023.001,11/30/23,67449,0,1440,2657,2756,1217,1315,0.458,0.477,138.5,0.42,0.49,323,0.42,1933,0.1,60000,--------,-------,1064,6746,0,1508,0.05,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1525.7,1,0,0,940,0
2,1,0,C,1000,0,8,mh113023.002,11/30/23,67472,12,1397,2408,2424,1011,1028,0.42,0.424,132.9,0.4,0.65,582,0.25,3166,0.09,60000,--------,-------,1297,6869,0,1447,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1415.3,1.02,12,18.7,771.1,0.1
2,1,0,C,1000,0,8,mh113023.003,11/30/23,67495,24,1359,2296,2300,937,941,0.408,0.409,129.8,0.36,0.64,677,0.24,4326,0.12,60000,--------,-------,1666,8927,0,1416,0.04,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1350.9,0.99,24,36.4,600.4,0.16
2,1,0,C,1000,0,8,mh113023.004,11/30/23,67518,36,1420,2332,2361,911,941,0.391,0.399,131.3,0.37,0.65,753,0.24,5953,0.11,60000,--------,-------,2169,8243,0,1471,0.03,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,1379.9,0.96,36,52.3,460.9,0.14
